Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43363","1","2019-01-01 03:53:02","0","66","<machine-learning><nlp>","1",""
"43366","1","2019-01-01 06:02:07","3","197","<deep-learning><image-classification><convolutional-neural-network>","1",""
"43367","1","2019-01-01 06:16:26","0","43","<scikit-learn><tensorflow><scipy>","1",""
"43370","1","2019-01-01 10:06:03","2","38","<classification>","0",""
"43374","1","2019-01-01 13:18:02","3","52","<deep-learning><time-series><cnn><convolution>","1",""
"43375","1","2019-01-01 13:24:28","4","1059","<machine-learning><dataset><dimensionality-reduction>","1",""
"43376","1","2019-01-01 14:19:59","6","4204","<machine-learning><python><xgboost>","2",""
"43380","1","2019-01-01 19:15:29","1","503","<python><neural-network><keras><tensorflow>","1",""
"43381","1","2019-01-01 19:16:04","1","394","<machine-learning><homework>","0",""
"43385","1","2019-01-01 23:12:57","0","67","<optimization><theory>","1",""
"43386","1","2019-01-02 00:11:53","1","788","<machine-learning><sql><fuzzy-logic><evolutionary-algorithms>","1",""
"43393","1","2019-01-02 09:20:02","1","25","<gaussian>","0",""
"43395","1","2019-01-02 12:20:38","1","276","<classification><class-imbalance><audio-recognition>","1",""
"43396","1","2019-01-02 12:54:11","1","34","<deep-learning><nlp><lstm><text-generation>","0",""
"43397","1","2019-01-02 13:09:28","0","1453","<neural-network><categorical-data>","2",""
"43400","1","2019-01-02 17:13:28","1","229","<predictive-modeling><labels>","0",""
"43401","1","2019-01-02 17:41:42","2","148","<feature-selection><svm>","0",""
"43404","1","2019-01-02 19:23:46","1","782","<feature-selection><random-forest><feature-engineering>","1",""
"43405","1","2019-01-02 20:13:27","1","237","<machine-learning><neural-network><training><optimization>","1",""
"43408","1","2019-01-02 23:15:37","0","235","<tensorflow><programming>","1",""
"43413","1","2019-01-03 03:08:26","0","487","<nlp><embeddings><deep-learning>","1",""
"43416","1","2019-01-03 07:04:56","1","2712","<lstm><feature-scaling>","1",""
"43422","1","2019-01-03 10:06:09","0","110","<machine-learning><data><churn>","1",""
"43423","1","2019-01-03 10:10:07","1","74","<machine-learning><predictive-modeling><accuracy>","1",""
"43425","1","2019-01-03 10:34:20","1","519","<python><pandas>","1",""
"43433","1","2019-01-03 15:16:26","0","715","<r><bigdata><data><data-cleaning>","1",""
"43436","1","2019-01-03 15:51:14","1","1895","<machine-learning><python><multiclass-classification>","2",""
"43438","1","2019-01-03 16:32:26","2","381","<machine-learning><scikit-learn><predictive-modeling><overfitting>","0",""
